"Timestamp","Koliko se godina profesionalno bavite digitalnim produktima?","Vaše zanimanje","Spol","Koliko godina imate","Prebivalište","U kojoj županiji radite","Obrazovanje","Koja je vaša trenutna dizajnerska uloga?","Na skali od 1-7, koliko vas je obrazovanje pripremilo za trenutnu radnu poziciju?","Koliko godina radite na trenutnoj poziciji?","Trenutno radite na poziciji:","U kojoj od navedenih tipova firma trenutno radite?","Koliko zaposlenika ima firma u kojoj radite? ","Ima li firma u kojoj radite dizajn tim? ","Koliko dizajnera ima u tvrtki u kojoj radite?","Koje timske aktivnosti održavate unutar design tima?","Odaberite koliki postotak projekata radite za pojedino tržište: [HR tržište]","Odaberite koliki postotak projekata radite za pojedino tržište: [Europsko tržište]","Odaberite koliki postotak projekata radite za pojedino tržište: [US tržište]","Odaberite koliki postotak projekata radite za pojedino tržište: [Globalno tržište]","Koliko sati provedete na sastancima tjedno?","Što vam je najbitnije na radnom mjestu? [Novčana naknada za obavljeni posao]","Što vam je najbitnije na radnom mjestu? [Mogućnost rada od kuće]","Što vam je najbitnije na radnom mjestu? [Edukacija]","Što vam je najbitnije na radnom mjestu? [Mogućnost profesionalnog razvoja]","Što vam je najbitnije na radnom mjestu? [Kultura kompanije i atmosfera u uredu]","Što vam je najbitnije na radnom mjestu? [Projekti]","Što vam je najbitnije na radnom mjestu? [Status i financijska pozadina tvrtke u kojoj radim]","Što vam je najbitnije na radnom mjestu? [Perks & Benefits (voće, kava, piva, grickalice...)]","Što vam je najbitnije na radnom mjestu? [Putovanja (konferencije, rad s inozemnim klijentima)]","Koliko ste zadovoljni trenutnim poslom?","Koliko ste plaćeni za posao koji radite (neto prihodi mjesečne plaće)?","Koliko ste zadovoljni mjesečnim prihodima?","Gdje najčešće radite?","Koja vrsta edukacije je pristuna na poslu?","S kojim pozicijama blisko surađujete na trenutnom radnom mjestu?","Koje metode koristite u dizajn procesu?","Kako znate jesu li vaša dizajn rješenja uspješna?","Po vašem mišljenju u koji dio poslovnih procesa stvaranja proizvoda bi se dizajneri trebali razumjeti i biti uključeni? [Istraživanje i definiranje potreba korisnika]","Po vašem mišljenju u koji dio poslovnih procesa stvaranja proizvoda bi se dizajneri trebali razumjeti i biti uključeni? [Testiranje rješenja]","Po vašem mišljenju u koji dio poslovnih procesa stvaranja proizvoda bi se dizajneri trebali razumjeti i biti uključeni? [Strategija proizvoda]","Po vašem mišljenju u koji dio poslovnih procesa stvaranja proizvoda bi se dizajneri trebali razumjeti i biti uključeni? [Strategija kompanije]","Po vašem mišljenju u koji dio poslovnih procesa stvaranja proizvoda bi se dizajneri trebali razumjeti i biti uključeni? [Akvizicijske metrike (acquisition)]","Po vašem mišljenju u koji dio poslovnih procesa stvaranja proizvoda bi se dizajneri trebali razumjeti i biti uključeni? [Retention / Engagement ]","Po vašem mišljenju u koji dio poslovnih procesa stvaranja proizvoda bi se dizajneri trebali razumjeti i biti uključeni? [Konverzijske metrike (conversion)]","Po vašem mišljenju u koji dio poslovnih procesa stvaranja proizvoda bi se dizajneri trebali razumjeti i biti uključeni? [Revenue (Model zarade)]","Po vašem mišljenju u koji dio poslovnih procesa stvaranja proizvoda bi se dizajneri trebali razumjeti i biti uključeni? [Financijske metrike]","Po vašem mišljenju u koji dio poslovnih procesa stvaranja proizvoda bi se dizajneri trebali razumjeti i biti uključeni? [Poslovni model]","Po vašem mišljenju u koji dio poslovnih procesa stvaranja proizvoda bi se dizajneri trebali razumjeti i biti uključeni? [Upravljanje resursima]","Da ste u prilici dati jedan savjet mangementu tvrtke u kojoj radite, sa željom da unaprijedite dizajn proces, što biste im rekli?","Koju biste tvrtku na našem tržištu izdvojili kao dobar primjer ulaganja u dizajn procese ili kvalitetnog pristupa rješavanju dizajn/produkt problema?","Kako biste u par riječi opisali zašto ste izabrali tu tvrtku kao primjer dobre dizajn prakse?","Koje će po vama biti tri najvrednije dizajn vještine ili znanja potrebna za rad u budućnosti (gledano 3-8 godina unaprijed)?","Koja će nadolazeća tehnologija najviše utjecati na područje dizajna kojim se bavite?"
"2018/07/06 4:16:37 PM GMT+2","8 - 10 godina","UX/UI dizajner","Muški","26-30","GRAD ZAGREB","GRAD ZAGREB","Srednja stručna sprema","Produkt dizajner (digitalni proizvodi)","2","2-5 godina","Senior Dizajner","Digitalna agencija","11-20","Ima jedan dizajn tim","2-5","Dnevni dizajn Standup","0","100%","50%","50%","4 - 8 sata / tjedno","4","4","3","4","5","4","3","2","3","4","10000kn - 12900kn","3","Najčešće u uredu i povremeno remotely","Educiram se samostalno doma;Edukacija je prisutna jedino u radu na projektima","UI dizajn;UX dizajn;Programeri;Produkt managers;Project managers","Research;Persone;Journey Mapping;Wireframing;Izrada prototipa;Usability testing;Design Sprint","Pomoću analitike;Radimo A/B testove","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Ne mogu odgovoriti","Ne mogu odgovoriti","Nisu potrebni","Nisu potrebni","Nisu potrebni","Ne mogu odgovoriti","Nisu potrebni","","","","3D Modeling, rapid prototyping","VR;AR;Chatbots;Machine learning"
"2018/07/06 9:47:43 PM GMT+2","11 - 20 godina","Produkt manager","Muški","36-40","GRAD ZAGREB","GRAD ZAGREB","TVZ","Produkt manager","5","2-5 godina","Product Manager","Produkt okolina (tvrtka koja razvija vlastiti proizvod)","51-150","Ima jedan dizajn tim","2-5","Revizija dizajna","100%","0","0","0","4 - 8 sata / tjedno","3","2","3","3","3","3","3","1","3","3","10000kn - 12900kn","4","Najčešće u uredu","Educiram se samostalno doma;Knjige;Blogovi;Online vodiči;Konferencije i događanja u HR;Konferencije i događanja u inozemstvu","UI dizajn;Programeri;Produkt managers;Sales;Copywritter;Researcher","Research;Analiza konkurencije;Wireframing;Design Sprint","Nikako","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Nisu potrebni","Obavezno uključiti","Nisu potrebni","Nisu potrebni","Nisu potrebni","Obavezno uključiti","Obavezno uključiti","Staviti većinu fokusa na dobro i korisno dizajniranje proizvode.","Uh, nisam siguran koga bih izdvojio.","Nemam odgovor.","Empatija, istraživanje i savladavanje novih alata/vještina za bržu izradu prototipa koje je moguće odmah testirati u stvarnom okruženju.","Conversational Interfaces;AI;Machine learning"
"2018/07/07 2:45:09 PM GMT+2","8 - 10 godina","Produkt dizajner (digitalni proizvodi)","Muški","31-35","GRAD ZAGREB","GRAD ZAGREB","Arhitektonski fakultet - studij dizajna","Marketing/Brand dizajner","4","6-10 godina","Lead Dizajner","j.d.o.o. (freelance)","1","Nema","Samo ja","Nema design tima","75%","25%","0","0","1 - 3 sata / tjedno","4","5","3","4","5","4","3","3","4","4","2800kn - 4900kn","3","Najčešće remotely","Edukacija je prisutna jedino u radu na projektima;Online vodiči;Online tečajevi;Networking događaji / meetups;Konferencije i događanja u HR;Konferencije i događanja u inozemstvu","Programeri;Project managers;Copywritter;Researcher","Research;Intervjui s korisnicima;Analiza konkurencije;Journey Mapping","Nikako;Pomoću analitike","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Nisu potrebni","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Nisu potrebni","Obavezno uključiti","Nisu potrebni","","Five, Degordian, b&z&g, Prostoria","","Kvalitetan remote timski rad, Kriticko razmisljanje i sinteza informacija, kreiranje minimalno nuznog, a  intuitivnog sucelja.","AR;Conversational Interfaces;AI;Machine learning"
"2018/07/07 5:31:26 PM GMT+2","2 - 3 godine","UX/UI dizajner","Ženski","26-30","GRAD ZAGREB","GRAD ZAGREB","GRF","UX/UI dizajner","3","2-5 godina","Medium Dizajner","Digitalna agencija","21-50","Ima jedan dizajn tim","2-5","Revizija dizajna","25%","50%","100%","75%","1 - 3 sata / tjedno","4","4","5","5","5","5","5","4","5","4","5000kn - 6900kn","4","Najčešće u uredu","Educiram se samostalno doma;Edukacija je prisutna jedino u radu na projektima;Knjige;Blogovi;Networking događaji / meetups;Konferencije i događanja u inozemstvu","UI dizajn;UX dizajn;Programeri;Project managers;Kreativni direktor","Research;Analiza konkurencije;Persone;Journey Mapping;Wireframing;Izrada prototipa","Nikako;Pomoću analitike","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","Pristajanje ne realne rokove svih faza u pocesu kako bi se napravio digitalni proizvod visoke kvalitete. ","Infinum","","AI, UX, ","VR;AR;Chatbots;AI;Machine learning"
"2018/07/08 2:07:42 PM GMT+2","2 - 3 godine","Web dizajner","Muški","26-30","GRAD ZAGREB","GRAD ZAGREB","GRF","Web dizajner","1","2-5 godina","Lead Dizajner","Digitalna agencija","11-20","Ima jedan dizajn tim","2-5","Revizija dizajna;Mentoriranje","100%","0","0","0","4 - 8 sata / tjedno","5","3","5","5","5","4","4","3","3","3","7000kn - 8900kn","1","Najčešće u uredu","Edukacija je prisutna jedino u radu na projektima;Konferencije i događanja u HR;Konferencije i događanja u inozemstvu","UX dizajn;Programeri;Sales;Kreativni direktor;Copywritter","Research;Analiza konkurencije;Wireframing","Pomoću analitike","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Nisu potrebni","Ne mogu odgovoriti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Nisu potrebni","Nisu potrebni","Nisu potrebni","","","","Dizajn aplikacija.","Conversational Interfaces"
"2018/07/09 10:22:23 AM GMT+2","2 - 3 godine","UI dizajner","Ženski","31-35","GRAD ZAGREB","GRAD ZAGREB","FPU Beograd","UI dizajner","4","2-5 godina","Medium Dizajner","Digitalna agencija","51-150","Ima jedan dizajn tim","10-15","Mentoriranje","50%","25%","50%","25%","4 - 8 sata / tjedno","5","5","5","5","5","5","3","1","3","4","7000kn - 8900kn","4","Najčešće u uredu","Educiram se samostalno doma;Organizirana edukacija unutar tvrtke;Knjige;Blogovi;Webinari;Konferencije i događanja u HR","UI dizajn;UX dizajn;Programeri;Project managers;Dizajner komunikacija","Research;Wireframing;Izrada prototipa","Radimo usability testove;Radimo A/B testove","Obavezno uključiti","Obavezno uključiti","Ne mogu odgovoriti","Obavezno uključiti","Ne mogu odgovoriti","Ne mogu odgovoriti","Obavezno uključiti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","","","","Psychology skills, basic coding skills, understanding sales","VR;Conversational Interfaces;Machine learning"
"2018/07/09 10:24:21 AM GMT+2","manje od 1 godine","UX/UI dizajner","Ženski","26-30","PRIMORSKO-GORANSKA","GRAD ZAGREB","Arhitektonski fakultet - studij dizajna","UX/UI dizajner","2","manje od 1 godine","Junior Dizajner","Digitalna agencija","51-150","Ima jedan dizajn tim","10-15","Revizija dizajna;Mentoriranje","25%","50%","50%","25%","4 - 8 sata / tjedno","5","5","5","5","5","4","4","4","3","4","5000kn - 6900kn","5","Najčešće u uredu","Knjige;Blogovi;Networking događaji / meetups;Konferencije i događanja u HR;mentoriranje","UI dizajn;UX dizajn;Programeri;Project managers","Research;Intervjui s korisnicima;Affinity mapping;Persone;Journey Mapping;Wireframing;Izrada prototipa;Usability testing","Radimo usability testove;Radimo A/B testove","Obavezno uključiti","Obavezno uključiti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","bez kvalitetnog istraživanja i testiranja nema kvalitetnog i uspješnog proizvoda","","","vizualno oblikovanje, timska suradnja, dizajn interakcija","VR;AR;Conversational Interfaces;Chatbots;AI;Machine learning"
"2018/07/09 10:24:36 AM GMT+2","8 - 10 godina","UX/UI dizajner","Muški","26-30","GRAD ZAGREB","GRAD ZAGREB","GRF","UX/UI dizajner","3","2-5 godina","Medium Dizajner","Digitalna agencija","51-150","Ima jedan dizajn tim","10-15","Revizija dizajna;Mentoriranje","25%","75%","75%","75%","4 - 8 sata / tjedno","4","1","3","4","4","3","3","3","4","4","5000kn - 6900kn","4","Najčešće u uredu","Edukacija je prisutna jedino u radu na projektima;Organizirana edukacija unutar tvrtke;Knjige","UI dizajn;UX dizajn;Programeri;Project managers","Research;Analiza konkurencije;Persone;Journey Mapping;Wireframing;Izrada prototipa;Design Sprint","Radimo usability testove","Obavezno uključiti","Obavezno uključiti","Nisu potrebni","Nisu potrebni","Ne mogu odgovoriti","Ne mogu odgovoriti","Nisu potrebni","Nisu potrebni","Nisu potrebni","Nisu potrebni","Nisu potrebni","","","","3D modeliranje zbog rasta AR i VR tehnologija","AR"
"2018/07/09 12:04:58 PM GMT+2","11 - 20 godina","UX/UI dizajner","Muški","36-40","ZAGREBAČKA","ZAGREBAČKA","Srednja stručna sprema","UX/UI dizajner","1","11-20 godina","Management (Head of Design, Chief Design Officier i sl. )","Digitalna agencija","21-50","Ima jedan dizajn tim","2-5","Dnevni dizajn Standup;Revizija dizajna;Mentoriranje","0","75%","75%","75%","4 - 8 sata / tjedno","4","5","5","5","5","5","4","2","4","5","20000kn i više","5","Najčešće remotely","Educiram se samostalno doma","Programeri;Executives","Research;Analiza konkurencije;Wireframing;Izrada prototipa","Nikako;Pomoću analitike","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Nisu potrebni","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Nisu potrebni","Investirajte više u razvoj dizajn odjela kao integralni dio poslovanja.","Five","Po aktivnostima.","Psihologija, Antropologija etc.","Blockchain"
"2018/07/09 12:42:42 PM GMT+2","11 - 20 godina","UX/UI dizajner","Muški","36-40","OSJEČKO-BARANJSKA","OSJEČKO-BARANJSKA","TVZ","UX/UI dizajner","2","2-5 godina","Lead Dizajner","Digitalna agencija","2-10","Ima jedan dizajn tim","2-5","Revizija dizajna;Mentoriranje;Weekly challenge, Weekly standup","25%","25%","25%","25%","4 - 8 sata / tjedno","4","2","3","4","5","5","1","1","4","5","7000kn - 8900kn","4","Najčešće u uredu","Educiram se samostalno doma;Organizirana edukacija unutar tvrtke;Knjige;Blogovi;Networking događaji / meetups;Konferencije i događanja u HR;Konferencije i događanja u inozemstvu","UI dizajn;UX dizajn;Programeri;Project managers","Research;Analiza konkurencije;Persone;Wireframing;Izrada prototipa;Usability testing;Design Sprint","Pomoću analitike;Radimo usability testove","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Nisu potrebni","Nisu potrebni","Nisu potrebni","Nisu potrebni","Nisu potrebni","Involvirati dizajnere od samog starta procesa izrade proizvoda","","","cross discipline, experience design","AR;Conversational Interfaces;AI;Machine learning"
"2018/07/09 1:31:39 PM GMT+2","2 - 3 godine","UX/UI dizajner","Muški","22-25","VUKOVARSKO-SRIJEMSKA","OSJEČKO-BARANJSKA","FFOS","UX/UI dizajner","4","2-5 godina","Medium Dizajner","Digitalna agencija","2-10","Ima jedan dizajn tim","2-5","Revizija dizajna;Mentoriranje","25%","50%","50%","75%","1 - 3 sata / tjedno","4","2","4","5","5","4","2","1","3","4","5000kn - 6900kn","5","Najčešće u uredu","Knjige;Blogovi;Networking događaji / meetups;Konferencije i događanja u HR","UI dizajn;UX dizajn;Programeri;Sales;Project managers;Copywritter","Research;Analiza konkurencije;Persone;Journey Mapping;Wireframing;Izrada prototipa;Design Sprint","Pomoću analitike","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Nisu potrebni","Obavezno uključiti","Nisu potrebni","Više edukacije","Degordian","Rade vrhunski posao","Poznavanje frontenda, interakcije, copywriting","VR;AR"
"2018/07/09 1:33:30 PM GMT+2","11 - 20 godina","Grafički dizajner","Muški","46-50","KRAPINSKO-ZAGORSKA","KRAPINSKO-ZAGORSKA","Arhitektonski fakultet - studij dizajna","Grafički dizajner","4","6-10 godina","Management (Head of Design, Chief Design Officier i sl. )","Autorski ugovor (freelance)","2-10","Nema","2-5","Nema design tima","50%","50%","0","0","4 - 8 sata / tjedno","5","5","4","4","5","4","4","4","4","5","16000kn - 20000kn","4","Najčešće u uredu i povremeno remotely","Educiram se samostalno doma;Blogovi","Project managers;Copywritter;ilustratori i fotografi","Research;Intervjui s korisnicima;Analiza konkurencije","Nikako","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Nisu potrebni","Nisu potrebni","Nisu potrebni","Nisu potrebni","Nisu potrebni","Obavezno uključiti","Nisu potrebni","Brinite o svojim ljudima","-","-","-","Conversational Interfaces"
"2018/07/09 1:50:00 PM GMT+2","11 - 20 godina","Grafički dizajner","Muški","41-45","GRAD ZAGREB","GRAD ZAGREB","Arhitektonski fakultet - studij dizajna","Grafički dizajner","2","11-20 godina","Freelance","Autorski ugovor (freelance)","1","Nema","Samo ja","Nema design tima","25%","75%","0","25%","4 - 8 sata / tjedno","1","1","1","5","1","5","1","1","1","5","Nisam zaposlen ali freelanceam","3","Najčešće u uredu i povremeno remotely","Educiram se samostalno doma;Knjige;Online vodiči","UI dizajn;Programeri;Copywritter","Research;Intervjui s korisnicima;Analiza konkurencije;Izrada prototipa","Nikako","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","","","","?","?"
"2018/07/09 2:08:33 PM GMT+2","11 - 20 godina","UX/UI dizajner","Ženski","41-45","GRAD ZAGREB","GRAD ZAGREB","Srednja stručna sprema","UX/UI dizajner","1","11-20 godina","Management (Head of Design, Chief Design Officier i sl. )","Digitalna agencija","2-10","Ima više dizajn timova","6-10","Ništa","25%","50%","0","75%","1 - 3 sata / tjedno","5","5","1","4","5","5","3","1","1","5","5000kn - 6900kn","1","Najčešće remotely i povremeno u uredu","Educiram se samostalno doma;Blogovi;Networking događaji / meetups;Konferencije i događanja u HR;Konferencije i događanja u inozemstvu","Programeri;Sales;Data analyst","Research;Intervjui s korisnicima;Fokus grupe (grupni intervjui);Analiza konkurencije;Persone;Journey Mapping;Wireframing","Pomoću analitike","Obavezno uključiti","Nisu potrebni","Obavezno uključiti","Obavezno uključiti","Nisu potrebni","Nisu potrebni","Nisu potrebni","Nisu potrebni","Nisu potrebni","Obavezno uključiti","Nisu potrebni","-","-","-","-","AI;Machine learning"
"2018/07/09 2:44:34 PM GMT+2","8 - 10 godina","Grafički dizajner","Ženski","41-45","GRAD ZAGREB","GRAD ZAGREB","Arhitektonski fakultet - studij dizajna","Grafički dizajner","1","11-20 godina","Management (Head of Design, Chief Design Officier i sl. )","Marketinška / oglašivačka agencija","51-150","Ima jedan dizajn tim","20+","Mentoriranje","100%","25%","25%","0","1 - 3 sata / tjedno","5","1","2","5","5","5","5","3","2","5","10000kn - 12900kn","3","Najčešće u uredu","Organizirana edukacija unutar tvrtke;Audio knjige;Webinari","Project managers;Kreativni direktor;Executives;Copywritter","Research;Fokus grupe (grupni intervjui);Analiza konkurencije","Pomoću analitike","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Nisu potrebni","Nisu potrebni","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","Nisu potrebni","Nisu potrebni"," Ista","Niti jednu","/","Ne znam","VR;AI;Machine learning"
"2018/07/09 3:30:17 PM GMT+2","8 - 10 godina","Grafički dizajner","Ženski","31-35","VUKOVARSKO-SRIJEMSKA","ZAGREBAČKA","GRF","Grafički dizajner","4","6-10 godina","Senior Dizajner","multinacionalna kompanija","51-150","Ima više dizajn timova","10-15","Dnevni dizajn Standup;Revizija dizajna","25%","75%","0","75%","4 - 8 sata / tjedno","5","5","5","5","5","5","5","3","4","3","10000kn - 12900kn","3","Najčešće u uredu i povremeno remotely","Educiram se samostalno doma;Organizirana edukacija unutar tvrtke;Knjige;Online tečajevi;Konferencije i događanja u HR;Konferencije i događanja u inozemstvu","Project managers;Kreativni direktor;Copywritter;Data analyst","Research;Analiza konkurencije;Izrada prototipa;Usability testing","Pomoću analitike;Radimo usability testove","Obavezno uključiti","Nisu potrebni","Obavezno uključiti","Obavezno uključiti","Ne mogu odgovoriti","Nisu potrebni","Nisu potrebni","Nisu potrebni","Nisu potrebni","Nisu potrebni","Nisu potrebni","","","","dizajn strategija, human thinking ","Conversational Interfaces;360 video"
"2018/07/09 4:05:06 PM GMT+2","više od 20 godina","maleno tržište ne dozvoljava usku specijalizaciju, većinu gore navedenog","Muški","46-50","PRIMORSKO-GORANSKA","PRIMORSKO-GORANSKA","EFRI","više toga istovremeno","2","11-20 godina","Management (Head of Design, Chief Design Officier i sl. )","Digitalna agencija","2-10","Ima jedan dizajn tim","2-5","Revizija dizajna","75%","25%","0","0","4 - 8 sata / tjedno","3","2","2","4","5","4","4","4","3","3","2800kn - 4900kn","2","Najčešće u uredu","Educiram se samostalno doma;Edukacija je prisutna jedino u radu na projektima;Knjige;Blogovi;Webinari;Online tečajevi;Networking događaji / meetups;Konferencije i događanja u HR;Konferencije i događanja u inozemstvu","UI dizajn;UX dizajn;Programeri;Sales;Executives;Copywritter","Research;Intervjui s korisnicima;Analiza konkurencije;Izrada prototipa;Usability testing;Lean UX","Radimo A/B testove","Obavezno uključiti","Nisu potrebni","Obavezno uključiti","Nisu potrebni","Nisu potrebni","Nisu potrebni","Nisu potrebni","Nisu potrebni","Nisu potrebni","Nisu potrebni","Nisu potrebni","Zatvoriti ured u Hrvatskoji i preseliti van.","Revolucija","Trude se i inovativni su","Konvergencija i pojednostavljivanje u svrhu funkcionalnosti","VR;AR;AI"
"2018/07/09 5:50:49 PM GMT+2","4 - 7 godina","Dizajner vizualnih komunikacija","Ženski","26-30","PRIMORSKO-GORANSKA","PRIMORSKO-GORANSKA","Arhitektonski fakultet - studij dizajna","Dizajner vizualnih komunikacija","5","2-5 godina","Lead Dizajner","Dizajn studio","2-10","Nema","Samo ja","Nema design tima","75%","25%","0","25%","1 - 3 sata / tjedno","5","4","3","4","5","5","5","1","4","4","2800kn - 4900kn","3","Najčešće u uredu i povremeno remotely","Educiram se samostalno doma;Blogovi;Webinari;Online tečajevi","Programeri;Sales;Project managers;Dizajner komunikacija;Copywritter","Research;Intervjui s korisnicima;Analiza konkurencije;Journey Mapping","Nikako","Obavezno uključiti","Ne mogu odgovoriti","Obavezno uključiti","Obavezno uključiti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","Obavezno uključiti","Nisu potrebni","Važnije je imati tim koji zna komunicirati međusobno i ljude s manje iskustva, nego tim vrhunskih stručnjaka i nikakvu komunikaciju.","Studio 33 iz Osijeka.","Kvalitetan dizajn.","Razumijevanje mogućnosti 2D i 3D dizajna u virtualnoj stvarnosti. Vještina kritičkog razmišanja i kreativnosti koja će uz sve dostupne šablone moći iznjedriti nešto novo. Razumijevanje AI-a i robotike.","VR;360 video;AI"
"2018/07/09 9:36:19 PM GMT+2","4 - 7 godina","Produkt dizajner (digitalni proizvodi)","Muški","31-35","GRAD ZAGREB","remote","Srednja stručna sprema","Produkt dizajner (digitalni proizvodi)","1","2-5 godina","Senior Dizajner","j.d.o.o. (freelance)","1","Nema","Samo ja","Nema design tima","0","50%","50%","0","0","4","3","1","5","4","5","3","3","3","3","Nisam zaposlen ali freelanceam","5","Najčešće remotely","Educiram se samostalno doma;Knjige;Audio knjige;Blogovi;Webinari;Online vodiči;Online tečajevi","UI dizajn;UX dizajn;Programeri;Produkt managers;Sales;Project managers;Executives;Researcher","Research;Intervjui s korisnicima;Analiza konkurencije;Affinity mapping;Journey Mapping;Wireframing;Izrada prototipa;Usability testing;Lean UX;Design Sprint","Pomoću analitike;Radimo usability testove;Radimo A/B testove","Obavezno uključiti","Obavezno uključiti","Nisu potrebni","Nisu potrebni","Nisu potrebni","Obavezno uključiti","Obavezno uključiti","Nisu potrebni","Nisu potrebni","Obavezno uključiti","Nisu potrebni","Dizajn je rješavanje problema a ne bojanje i tako ga treba tretirati. ","Ne poznajem dovoljno tržište ali veće agencije na našim prostorima nemaju dobar dizajn proces. Dapače, drže dizajn kao korak procesa. ","","validation, communication and data analysis ","AR;AI"
"2018/07/09 10:42:37 PM GMT+2","11 - 20 godina","Sve navedeno 🤦‍♂️","Muški","31-35","ZAGREBAČKA","ZAGREBAČKA","Srednja stručna sprema","Produkt dizajner (digitalni proizvodi)","1","2-5 godina","Senior Dizajner","Marketinška / oglašivačka agencija","21-50","Ima više dizajn timova","20+","Revizija dizajna;Mentoriranje","50%","50%","0","0","1 - 3 sata / tjedno","5","5","5","5","5","5","5","5","5","4","10000kn - 12900kn","4","Najčešće u uredu","Educiram se samostalno doma;Edukacija je prisutna jedino u radu na projektima;Organizirana edukacija unutar tvrtke;Blogovi;Webinari;Online vodiči;Online tečajevi;Networking događaji / meetups;Konferencije i događanja u HR","UI dizajn;UX dizajn;Produkt managers;Project managers;Kreativni direktor;Executives;Copywritter","Research;Analiza konkurencije;Wireframing;Izrada prototipa","Nikako;Pomoću analitike","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Cesci sastanci na nivou razlicitih odjela","Infinum, Five, web.burza, Nivas","Zanimljivi projekti/klijenti","Common sense, upotreba papira i olovke, digitalni alati koji omogucuju direktan rad na mediju za koji se radi proizvod (webflow), dizajn interakcija","AR;Conversational Interfaces;AI;Machine learning"
"2018/07/10 1:21:48 AM GMT+2","11 - 20 godina","Grafički dizajner","Muški","46-50","GRAD ZAGREB","GRAD ZAGREB","Srednja stručna sprema","Dizajner vizualnih komunikacija","3","6-10 godina","Senior Dizajner","Autorski ugovor (freelance)","11-20","Nema","Samo ja","Nema design tima","100%","0","0","0","4 - 8 sata / tjedno","5","4","4","4","4","4","4","3","3","4","2800kn - 4900kn","2","Najčešće u uredu","Educiram se samostalno doma;Knjige;Blogovi;Webinari;Online tečajevi","Programeri;Sales;Project managers;Kreativni direktor","Research;Analiza konkurencije;Izrada prototipa","Pomoću analitike;Radimo A/B testove","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Nisu potrebni","Nisu potrebni","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Nisu potrebni","Obavezno uključiti","Obavezno uključiti","","","","ux dizajn, ui dizajn, dizajn komunikacija","Conversational Interfaces;AI;Machine learning"
